,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
46800,2020-06-01 13:00:00+00:00,1.65178,1.65208,1.65177,1.65208,-1,-1.0,-1,1.65184,1.65211,1.65182,1.65209,-1,-1.0,-1
50400,2020-06-01 14:00:00+00:00,1.65114,1.65114,1.65093,1.65099,-1,-1.0,-1,1.65118,1.65126,1.65107,1.65112,-1,-1.0,-1
54000,2020-06-01 15:00:00+00:00,1.64081,1.64103,1.6408,1.64103,-1,-1.0,-1,1.64088,1.64111,1.64085,1.64111,-1,-1.0,-1
57600,2020-06-01 16:00:00+00:00,1.63933,1.6394,1.63933,1.63939,-1,-1.0,-1,1.6394,1.63944,1.6394,1.63941,-1,-1.0,-1
61200,2020-06-01 17:00:00+00:00,1.64073,1.64074,1.64063,1.64065,-1,-1.0,-1,1.64081,1.64082,1.64066,1.64066,-1,-1.0,-1
64800,2020-06-01 18:00:00+00:00,1.63925,1.63929,1.63925,1.63929,-1,-1.0,-1,1.63929,1.63936,1.63929,1.63934,-1,-1.0,-1
68400,2020-06-01 19:00:00+00:00,1.6372,1.6372,1.63719,1.6372,-1,-1.0,-1,1.63726,1.6373,1.63725,1.63729,-1,-1.0,-1
72000,2020-06-01 20:00:00+00:00,1.63765,1.63785,1.63761,1.63785,-1,-1.0,-1,1.63773,1.6379,1.63769,1.6379,-1,-1.0,-1
78300,2020-06-01 22:00:00+00:00,1.63667,1.63679,1.63667,1.63669,-1,-1.0,-1,1.63706,1.63713,1.63706,1.63709,-1,-1.0,-1
81900,2020-06-01 23:00:00+00:00,1.63881,1.63895,1.63881,1.63891,-1,-1.0,-1,1.63892,1.63907,1.6389,1.63907,-1,-1.0,-1
0,2020-06-02 00:00:00+00:00,1.63992,1.63993,1.63967,1.63978,-1,-1.0,-1,1.63998,1.63998,1.63977,1.63981,-1,-1.0,-1
3600,2020-06-02 01:00:00+00:00,1.63741,1.63744,1.63733,1.63737,-1,-1.0,-1,1.63747,1.63749,1.63737,1.63744,-1,-1.0,-1
7200,2020-06-02 02:00:00+00:00,1.63963,1.63969,1.6396,1.63964,-1,-1.0,-1,1.63971,1.63971,1.63964,1.63969,-1,-1.0,-1
10800,2020-06-02 03:00:00+00:00,1.6416,1.6416,1.64149,1.64149,-1,-1.0,-1,1.64167,1.64167,1.64153,1.6416,-1,-1.0,-1
14400,2020-06-02 04:00:00+00:00,1.63889,1.63906,1.63889,1.63906,-1,-1.0,-1,1.63898,1.6391,1.63898,1.6391,-1,-1.0,-1
